버섯누룽지탕,해물버섯누룽지탕,
파채닭살무침,닭고기채소무침,
동태국,동태국,
우삼겹볶음,우삼겹볶음,
깻잎김치전,김치전,
팥죽,죽_단팥죽,
배추국,배추국,
돈갈비찜,돼지갈비찜,
아삭고추무침,아삭이고추된장무침,
코다리시레기조림,코다리조림,
탕수육*파인야채소스,탕수육,
훈제오리야채무침,훈제오리볶음,
물미역초무침,미역초무침,
찐감자*요구르트,찐감자,
버섯불고기,버섯불고기,
새싹샐러드*드레싱,새싹샐러드,
청포묵미나리무침,미나리무침,
오이미역냉국,오이미역냉국,
감자전*두부구이,감자전,
오징어미나리무침,오징어포무침,
게살스프*모닝빵,게살스프,
스테이크조림,스테이크,
브로콜리초장무침,브로콜리된장무침,
전장구이김,김구이,
북어미역국,들깨북어미역국,
가지나물*단무지무침,가지나물,
고추장고등어구이,양념고등어구이,
푸실리콘샐러드,푸실리샐러드,
미나리숙주나물,미나리나물,
상추된장국,상추미소된장국,
삼치무조림,삼치무조림,
녹두전*미숫가루,반찬_녹두전,
팝콘닭강정,닭강정,
꽈리고추멸치조림,꽈리고추멸치볶음,
해초샐러드,토마토해초샐러드,
촉촉파래무침,파래무침,
흰밥,쌀밥,
쭈꾸미돈육볶음,돼지고기쭈꾸미볶음,
호박부추전,호박전,
콩나물무침*열무김치,콩나물무침,
마가렛트*유자차,비스킷/쿠키/크래커_마가렛트,
닭살메란조림,돈육메추리알장조림,
양배추쌈된장무침,양배추무침,
해물동그랑땡*케찹,동그랑땡전,
상추부추무침,상추무침,
찐고구마*보리차,찐고구마,
가자미구이,가자미구이,
새우살계란찜,새우살계란찜,
베이컨새송이볶음,베이컨버섯볶음,
조각수박,수박_적육질_생것,
흰밥,쌀밥,
순살치킨까스조림,치킨까스,
콘마카로니샐러드,마카로니샐러드,
재래김구이,김구이,
김치볶음밥*후라이,김치볶음밥,
돈채유부볶음,돈육채볶음,
치커리유자청무침*단무지,치커리사과무침,
찐만두*포도주스,과·채주스_아침에주스포도주스,
닭개장,닭개장,
오색모듬전,모듬전,
두부미역국,두부미역된장국,
콩나물잡채,콩나물잡채,
오이탕탕이*열무김치,오이피클,
호두과자*유자차,빵_호두과자,
닭살누룽지탕,닭해물누룽지탕,
물만두양념장,물만두,
고구마순나물,고구마순나물,
냉잔치국수,잔치국수,
닭살야채무침,닭가슴살냉채,
우묵가사리냉국,도토리묵냉국,
방어무조림,방어구이,
연근땅콩조림,연근조림,
브로콜리닭조림,닭조림,
생선까스*타르,생선까스,
베이비야채샐러드,채소샐러드,
흰밥,쌀밥,
새싹순두부*소스,새싹두부샐러드,
대패삼겹팽이볶음,대패삼겹배추볶음,
버터링쿠키*요구르트,일반과자_(완제품)버터링,
마늘종어묵볶음,마늘종어묵볶음,
떡갈비피망볶음,떡갈비,
